lg_col_mass,Temperature,Ne,V,Vturb,rho,P_gas,z_height_cm,z_height_km
-1.98761845,4900.0,75440270000.0,0.0,1.368657,8.615299456925242e-10,2.722345377792686e-05,-21760745.828943536,-217.60745828943536
-1.78171456,4680.0,91148730000.0,0.0,1.168133,1.4626645956141302e-09,4.414117507102683e-05,-27516484.31619729,-275.1648431619729
-1.58602309,4560.0,130789000000.0,0.0,0.9947371,2.3693980208008936e-09,6.967059724363294e-05,-32718917.01068239,-327.1891701068239
-1.42560005,4520.0,181818700000.0,0.0,0.8897392,3.4675233005594697e-09,0.00010106526561447342,-36836416.833250955,-368.36416833250956
-1.28381574,4500.0,244101700000.0,0.0,0.8043894,4.835588868530119e-09,0.000140315020597324,-40424025.730515495,-404.24025730515496
-1.14168072,4510.0,329435800000.0,0.0,0.7225354,6.6997218868179715e-09,0.00019483832232673913,-44009926.11914079,-440.0992611914079
-0.979987085,4540.0,464893000000.0,0.0,0.6536559,9.668108743285042e-09,0.0002830332339832009,-48122777.41218679,-481.22777412186787
-0.780323803,4610.0,716724800000.0,0.0,0.5555816,1.5113059685356615e-08,0.000449254837834918,-53305695.27753244,-533.0569527753245
-0.583481908,4690.0,1099721000000.0,0.0,0.5217747,2.339802792478307e-08,0.0007076054079814928,-58483737.233303145,-584.8373723330315
-0.389997512,4780.0,1680047000000.0,0.0,0.5728015,3.5841152085763646e-08,0.0011047112752520277,-63656534.984665856,-636.5653498466586
-0.200394467,4880.0,2557346000000.0,0.0,0.6274118,5.423285842593527e-08,0.0017065597817147876,-68823477.24003364,-688.2347724003364
-0.0152082862,4990.0,3880555000000.0,0.0,0.8043706,8.095601136047275e-08,0.002604891041230997,-73984163.46888767,-739.8416346888768
0.07598304,5060.0,4803401000000.0,0.0,0.8929698,9.824781282044525e-08,0.0032056360325448396,-76525717.93055035,-765.2571793055035
0.165459096,5150.0,5984860000000.0,0.0,0.995005,1.1812376005634191e-07,0.003922716714359241,-79066231.2208892,-790.662312208892
0.252803594,5270.0,7584832000000.0,0.0,1.093189,1.406547960546428e-07,0.004779810129708629,-81605570.68393455,-816.0557068393456
0.337693125,5410.0,9816085000000.0,0.0,1.195529,1.6587676935563513e-07,0.005786729765309596,-84143703.99874236,-841.4370399874235
0.419847399,5580.0,13293380000000.0,0.0,1.29188,1.9352963343734607e-07,0.006963713354176831,-86680503.99748804,-866.8050399748804
0.498901486,5790.0,19505190000000.0,0.0,1.395714,2.2263705029996357e-07,0.008312904841211563,-89215669.2983066,-892.156692983066
0.544588983,5980.0,27490410000000.0,0.0,1.448816,2.389268992935812e-07,0.009214431746110498,-90733760.73902355,-907.3376073902355
0.588704407,6180.0,40282440000000.0,0.0,1.506637,2.553008667543644e-07,0.010176133919201594,-92251577.52575307,-922.5157752575307
0.617215991,6340.0,54568580000000.0,0.0,1.541506,2.6531943586553126e-07,0.01085037852047531,-93263028.81505503,-932.6302881505503
0.644935131,6520.0,76413400000000.0,0.0,1.579327,2.7469604175344034e-07,0.011554574429638148,-94274374.11540933,-942.7437411540933
0.671832442,6720.0,109980000000000.0,0.0,1.621151,2.8332264163464894e-07,0.012285893374532706,-95285634.06612022,-952.8563406612022
0.697803915,6980.0,171922600000000.0,0.0,1.651916,2.8928316259435184e-07,0.013035456870685627,-96296786.12873752,-962.9678612873753
0.722732782,7280.0,278948700000000.0,0.0,1.677151,2.935118037061587e-07,0.013804962320009525,-97307860.88380186,-973.0786088380187
0.746601224,7590.0,444696700000000.0,0.0,1.696164,2.9674744023546344e-07,0.014568522193632178,-98318885.35758506,-983.1888535758505
0.769470692,7900.0,686966700000000.0,0.0,1.716951,3.000919705863742e-07,0.015360328224840703,-99329868.76165472,-993.2986876165472
0.791397929,8220.0,1041290000000000.0,0.0,1.733641,3.0245135928123576e-07,0.016147775747367348,-100340815.81143694,-1003.4081581143694
0.812412739,8540.0,1531806000000000.0,0.0,1.746632,3.042832956519741e-07,0.01693510546447818,-101351752.62769346,-1013.5175262769346
0.832580209,8860.0,2194603000000000.0,0.0,1.760494,3.0626172614074967e-07,0.01776377171902226,-102362678.85709621,-1023.626788570962
0.852005064,9140.0,2952398000000000.0,0.0,1.785877,3.0921811342549816e-07,0.018595004120026667,-103373626.10730158,-1033.7362610730158
0.870782733,9400.0,3831726000000000.0,0.0,1.806787,3.1248464609367165e-07,0.019436059852300538,-104384610.11318545,-1043.8461011318545
